comment_id,video_id,video_title,comment,cleaned_comment,processed_comment
1,TcMBFSGVi1c,Avengers Endgame Trailer,Furei a boca com espinho de peixe,furei a boca com espinho de peixe,furei boca com espinho de peixe
2,TcMBFSGVi1c,Avengers Endgame Trailer,Sou budista Jesus Cristo,sou budista jesus cristo,sou budista jesus cristo
3,TcMBFSGVi1c,Avengers Endgame Trailer,Is there any chance of iron man returning back in present 🤕,is there any chance of iron man returning back in present ,chance iron man returning back present
4,TcMBFSGVi1c,Avengers Endgame Trailer,TOMORROW. DOOM COMES FOR US ALL.,tomorrow doom comes for us all,tomorrow doom come u
5,TcMBFSGVi1c,Avengers Endgame Trailer,saw this movie again today,saw this movie again today,saw movie today
6,TcMBFSGVi1c,Avengers Endgame Trailer,i’m discovering plot elements watching this trailer years later 😓,im discovering plot elements watching this trailer years later ,im discovering plot element watching trailer year later
7,TcMBFSGVi1c,Avengers Endgame Trailer,doomsday in 10 months,doomsday in  months,doomsday month
8,TcMBFSGVi1c,Avengers Endgame Trailer,I was too young to have known about avengers when this masterpiece came out. I've regretted not being able to watch not even one of the movies of this epic franchise in the theatres...when it came out...with the whole fandom🔥😭🥺 I can only hope doomsday would fill that gap for me😭♥️😔,i was too young to have known about avengers when this masterpiece came out i have regretted not being able to watch not even one of the movies of this epic franchise in the theatreswhen it came outwith the whole fandom i can only hope doomsday would fill that gap for me,young known avenger masterpiece came regretted not able watch not even one movie epic franchise theatreswhen came outwith whole fandom hope doomsday would fill gap
9,TcMBFSGVi1c,Avengers Endgame Trailer,Endgame coming back to cinemas for doomsday I am excited for it,endgame coming back to cinemas for doomsday i am excited for it,endgame coming back cinema doomsday excited
10,TcMBFSGVi1c,Avengers Endgame Trailer,A new Avengers Movie in 2026 :Let's gooo,a new avengers movie in  lets gooo,new avenger movie let gooo
11,TcMBFSGVi1c,Avengers Endgame Trailer,We will return in Avengers Doomsday ❤️‍🩹,we will return in avengers doomsday ,return avenger doomsday
12,TcMBFSGVi1c,Avengers Endgame Trailer,"You just had to be there man, new gen will never understand",you just had to be there man new gen will never understand,man new gen never understand
13,TcMBFSGVi1c,Avengers Endgame Trailer,"A month from now, it would've been 7 years since it was released.",a month from now it wouldve been  years since it was released,month wouldve year since released
14,TcMBFSGVi1c,Avengers Endgame Trailer,I like this one,i like this one,like one
15,TcMBFSGVi1c,Avengers Endgame Trailer,Nahhhhh,nahhhhh,nahhhhh
16,TcMBFSGVi1c,Avengers Endgame Trailer,",,Whatever it takes""- Doom will quote them surely",whatever it takes doom will quote them surely,whatever take doom quote surely
17,TcMBFSGVi1c,Avengers Endgame Trailer,Still hits🎉😢,still hits,still hit
18,TcMBFSGVi1c,Avengers Endgame Trailer,Anyone watching this in 2026?,anyone watching this in ,anyone watching
19,TcMBFSGVi1c,Avengers Endgame Trailer,This kept my attention the entire time,this kept my attention the entire time,kept attention entire time
20,TcMBFSGVi1c,Avengers Endgame Trailer,All the trailers for endgame and infinity war were so good,all the trailers for endgame and infinity war were so good,trailer endgame infinity war good
21,TcMBFSGVi1c,Avengers Endgame Trailer,Avengers Doomsday coming Dec 18🎉 🎉,avengers doomsday coming dec  ,avenger doomsday coming dec
22,TcMBFSGVi1c,Avengers Endgame Trailer,"Aquí los que no son hater de series y películas.
Hater es malo para la salud","aqu los que no son hater de series y pelculas
hater es malo para la salud",aqu los que no son hater de series pelculas hater e malo para la salud
23,TcMBFSGVi1c,Avengers Endgame Trailer,Anyone watching in today 😅❤,anyone watching in today ,anyone watching today
24,TcMBFSGVi1c,Avengers Endgame Trailer,Avengers Doomsday teaser 19 Dec teaser,avengers doomsday teaser  dec teaser,avenger doomsday teaser dec teaser
25,TcMBFSGVi1c,Avengers Endgame Trailer,"10th February 2026
10 months and 7 days to Doomsday
166 Million views 👏","th february 
 months and  days to doomsday
 million views ",th february month day doomsday million view
26,TcMBFSGVi1c,Avengers Endgame Trailer,After all these years ... still goosebumps,after all these years  still goosebumps,year still goosebump
27,TcMBFSGVi1c,Avengers Endgame Trailer,14 March 2026 the Official Avengers Doomsday, march  the official avengers doomsday,march official avenger doomsday
28,TcMBFSGVi1c,Avengers Endgame Trailer,"""Cap, on your left"" is almost 7 yrs ago",cap on your left is almost  yrs ago,cap left almost yr ago
29,TcMBFSGVi1c,Avengers Endgame Trailer,This is recommended for a reason gang,this is recommended for a reason gang,recommended reason gang
30,TcMBFSGVi1c,Avengers Endgame Trailer,7 years later.... The world has changed a lot just since 2019., years later the world has changed a lot just since ,year later world changed lot since
31,TcMBFSGVi1c,Avengers Endgame Trailer,Here before Doomsday.,here before doomsday,doomsday
32,TcMBFSGVi1c,Avengers Endgame Trailer,"It took the Seahawks twice to beat the Patriots, but now it is all over! 10+ years in the making! The demon known as 2015 is all but just a legend now, not a memory any longer! Sam Darnold is Seattle’s Hero!",it took the seahawks twice to beat the patriots but now it is all over  years in the making the demon known as  is all but just a legend now not a memory any longer sam darnold is seattles hero,took seahawks twice beat patriot year making demon known legend not memory longer sam darnold seattle hero
33,TcMBFSGVi1c,Avengers Endgame Trailer,"We're living in the post Corona, AI world now. Uncertain, desperate times. The world has changed.

None of us can go back. All we can do is our best. And sometimes the best we can do, is to start over.","were living in the post corona ai world now uncertain desperate times the world has changed

none of us can go back all we can do is our best and sometimes the best we can do is to start over",living post corona ai world uncertain desperate time world changed none u go back best sometimes best start
34,TcMBFSGVi1c,Avengers Endgame Trailer,Anyone in 2026?,anyone in ,anyone
35,TcMBFSGVi1c,Avengers Endgame Trailer,"8th February 2026 - Super Bowl Day
10 months and 9 days to Doomsday","th february   super bowl day
 months and  days to doomsday",th february super bowl day month day doomsday
36,TcMBFSGVi1c,Avengers Endgame Trailer,Like if you’re ready for the Super Bowl commercial release .,like if youre ready for the super bowl commercial release ,like youre ready super bowl commercial release
37,TcMBFSGVi1c,Avengers Endgame Trailer,Who's watching this in 2026.,whos watching this in ,who watching
38,TcMBFSGVi1c,Avengers Endgame Trailer,Doomsday hype building even in watching this🎉,doomsday hype building even in watching this,doomsday hype building even watching
39,TcMBFSGVi1c,Avengers Endgame Trailer,Primavera strategy jouly no liberty,primavera strategy jouly no liberty,primavera strategy jouly no liberty
40,TcMBFSGVi1c,Avengers Endgame Trailer,São Paulo ret the strategy,so paulo ret the strategy,paulo ret strategy
41,TcMBFSGVi1c,Avengers Endgame Trailer,Primavera strategy geometric,primavera strategy geometric,primavera strategy geometric
42,TcMBFSGVi1c,Avengers Endgame Trailer,São Paulo strategy fight one y two,so paulo strategy fight one y two,paulo strategy fight one two
43,TcMBFSGVi1c,Avengers Endgame Trailer,Primavera strategy is gol,primavera strategy is gol,primavera strategy gol
44,TcMBFSGVi1c,Avengers Endgame Trailer,São Paulo camp hours strategy,so paulo camp hours strategy,paulo camp hour strategy
45,TcMBFSGVi1c,Avengers Endgame Trailer,"Primavera is strategy Internet,",primavera is strategy internet,primavera strategy internet
46,TcMBFSGVi1c,Avengers Endgame Trailer,"São Paulo intelingence few  shut of speed take no the intelingence,",so paulo intelingence few  shut of speed take no the intelingence,paulo intelingence shut speed take no intelingence
47,TcMBFSGVi1c,Avengers Endgame Trailer,"Primavera tecnic four four two  forms , dew no , dew no , dew no , take no intelingence hours  , ret no ret no Primavera fight longer  balistic,  few yes",primavera tecnic four four two  forms  dew no  dew no  dew no  take no intelingence hours   ret no ret no primavera fight longer  balistic  few yes,primavera tecnic four four two form dew no dew no dew no take no intelingence hour ret no ret no primavera fight longer balistic yes
48,TcMBFSGVi1c,Avengers Endgame Trailer,Primavera e São Paulo vamos pontuar no mundial time,primavera e so paulo vamos pontuar no mundial time,primavera e paulo vamos pontuar no mundial time
49,TcMBFSGVi1c,Avengers Endgame Trailer,São Paulo e primavera vamos pontuar no paulistao,so paulo e primavera vamos pontuar no paulistao,paulo e primavera vamos pontuar no paulistao
50,TcMBFSGVi1c,Avengers Endgame Trailer,I just saw this used as a Seahawks Super Bowl hype video on discord and I got legitimate chills even as an Eagles fan,i just saw this used as a seahawks super bowl hype video on discord and i got legitimate chills even as an eagles fan,saw used seahawks super bowl hype video discord got legitimate chill even eagle fan
51,TcMBFSGVi1c,Avengers Endgame Trailer,"6th February 2026
10 months and 11 days to Doomsday","th february 
 months and  days to doomsday",th february month day doomsday
52,TcMBFSGVi1c,Avengers Endgame Trailer,Even Over 6 year later and I still get goosebumps from this trailer,even over  year later and i still get goosebumps from this trailer,even year later still get goosebump trailer
53,TcMBFSGVi1c,Avengers Endgame Trailer,Michael biopic trailer is gonna win this.,michael biopic trailer is gonna win this,michael biopic trailer gonna win
54,TcMBFSGVi1c,Avengers Endgame Trailer,"Whatever it takes, it took a lot...",whatever it takes it took a lot,whatever take took lot
55,TcMBFSGVi1c,Avengers Endgame Trailer,"Now we know the red color in the trailer represent Pym particle and Ironman both, cause the former is the key that the Avengers can do the time travel, and the Ironman solve the problem in the quantium realm.",now we know the red color in the trailer represent pym particle and ironman both cause the former is the key that the avengers can do the time travel and the ironman solve the problem in the quantium realm,know red color trailer represent pym particle ironman cause former key avenger time travel ironman solve problem quantium realm
56,TcMBFSGVi1c,Avengers Endgame Trailer,All old trailers are recommending now why ?,all old trailers are recommending now why ,old trailer recommending
57,TcMBFSGVi1c,Avengers Endgame Trailer,it's hard to believe that this is almost 7 years old already,it is hard to believe that this is almost  years old already,hard believe almost year old already
58,TcMBFSGVi1c,Avengers Endgame Trailer,"3rd February 2026
10 months and 14 days to Doomsday","rd february 
 months and  days to doomsday",rd february month day doomsday
59,TcMBFSGVi1c,Avengers Endgame Trailer,It all leads to Doom…,it all leads to doom,lead doom
60,TcMBFSGVi1c,Avengers Endgame Trailer,Peak Marvel,peak marvel,peak marvel
61,TcMBFSGVi1c,Avengers Endgame Trailer,Welcome back ladies and gentlemen. Never forget that we had our endgame. Let us hope the next generation has its doomsday. Let us hope it gives them as much joy as ours did for us.,welcome back ladies and gentlemen never forget that we had our endgame let us hope the next generation has its doomsday let us hope it gives them as much joy as ours did for us,welcome back lady gentleman never forget endgame let u hope next generation doomsday let u hope give much joy u
62,TcMBFSGVi1c,Avengers Endgame Trailer,Thor activating Stormbreaker,thor activating stormbreaker,thor activating stormbreaker
63,TcMBFSGVi1c,Avengers Endgame Trailer,"1st February 2026
10 months and 16 days to Doomsday","st february 
 months and  days to doomsday",st february month day doomsday
64,TcMBFSGVi1c,Avengers Endgame Trailer,"31st January 2026
10 months and 17 days to Doomsday ⚡","st january 
 months and  days to doomsday ",st january month day doomsday
65,TcMBFSGVi1c,Avengers Endgame Trailer,You know who actually saved everyone? The RAT who stepped on the controls and let Ant-Man out from the quantum world. Think about that one for a moment...,you know who actually saved everyone the rat who stepped on the controls and let antman out from the quantum world think about that one for a moment,know actually saved everyone rat stepped control let antman quantum world think one moment
66,TcMBFSGVi1c,Avengers Endgame Trailer,"Wait a minute ! 😮
I think this is doom day trailer 😅📈","wait a minute  
i think this is doom day trailer ",wait minute think doom day trailer
67,TcMBFSGVi1c,Avengers Endgame Trailer,Viendo el tráiler antes de Avengers Doomsday,viendo el triler antes de avengers doomsday,viendo el triler ante de avenger doomsday
68,TcMBFSGVi1c,Avengers Endgame Trailer,this trailer is so emotional,this trailer is so emotional,trailer emotional
69,TcMBFSGVi1c,Avengers Endgame Trailer,Why didn't they keep this part in 😂 2:17,why did not they keep this part in  ,not keep part
70,TcMBFSGVi1c,Avengers Endgame Trailer,I can't believe this was 6 years ago,i cannot believe this was  years ago,cannot believe year ago
71,TcMBFSGVi1c,Avengers Endgame Trailer,"Kimikiss Pure Rouge, and Dancouga Nova",kimikiss pure rouge and dancouga nova,kimikiss pure rouge dancouga nova
72,TcMBFSGVi1c,Avengers Endgame Trailer,"29th January 2026
10 months and 19 days to Doomsday","th january 
 months and  days to doomsday",th january month day doomsday
73,TcMBFSGVi1c,Avengers Endgame Trailer,"bhai mai begginer hu
is it right to watch from endgame
ye movie addict hai ki nahi like squidgame tell me","bhai mai begginer hu
is it right to watch from endgame
ye movie addict hai ki nahi like squidgame tell me",bhai mai begginer hu right watch endgame ye movie addict hai ki nahi like squidgame tell
74,TcMBFSGVi1c,Avengers Endgame Trailer,Anyone in 2026,anyone in ,anyone
75,TcMBFSGVi1c,Avengers Endgame Trailer,7 years ago is crazy, years ago is crazy,year ago crazy
76,TcMBFSGVi1c,Avengers Endgame Trailer,"Who got recommended 6 years later, Doomsday is coming!!",who got recommended  years later doomsday is coming,got recommended year later doomsday coming
77,TcMBFSGVi1c,Avengers Endgame Trailer,"now, RDJ is back as Doom.",now rdj is back as doom,rdj back doom
78,TcMBFSGVi1c,Avengers Endgame Trailer,"You mess with time it tends to mess back.
Dr Doom is coming.
Messing with time has consequences","you mess with time it tends to mess back
dr doom is coming
messing with time has consequences",mess time tends mess back dr doom coming messing time consequence
79,TcMBFSGVi1c,Avengers Endgame Trailer,"The mood is dark, intense, and beautiful",the mood is dark intense and beautiful,mood dark intense beautiful
80,TcMBFSGVi1c,Avengers Endgame Trailer,Avengers Doomsday 🔥🔥🤯,avengers doomsday ,avenger doomsday
81,TcMBFSGVi1c,Avengers Endgame Trailer,"27th January 2026
10 months and 20 days to Doomsday ⚡","th january 
 months and  days to doomsday ",th january month day doomsday
82,TcMBFSGVi1c,Avengers Endgame Trailer,Who’s here after secret wars came out,whos here after secret wars came out,who secret war came
83,TcMBFSGVi1c,Avengers Endgame Trailer,Ts was my first marvel experience in cinema when I was like 10… nothing has ever beaten this one🫡,ts was my first marvel experience in cinema when i was like  nothing has ever beaten this one,t first marvel experience cinema like nothing ever beaten one
84,TcMBFSGVi1c,Avengers Endgame Trailer,"I would like to rewatch all these MCU movies with my College friends 


Thats not going to happen in this life though","i would like to rewatch all these mcu movies with my college friends 


thats not going to happen in this life though",would like rewatch mcu movie college friend thats not going happen life though
85,TcMBFSGVi1c,Avengers Endgame Trailer,Who is here after 4 doomsday teasers,who is here after  doomsday teasers,doomsday teaser
86,TcMBFSGVi1c,Avengers Endgame Trailer,"AVENGERS END GAME
ออกฉายในปี2019หนังเข้าฉายที่26
เดือนเมษายน พ.ศ.2562
รายชื่อนักแสดงอเวนเจอร์สเผด็จศึก
จอชโบรลินรับบทธานอส
โรเบิร์ตดาวนีย์จูเนียร์รับบทโทนี่สตาร์ค/iron man
คริสเฮมส์เวิร์ธรับบทธอร์
ดาไนกูริร่ารับบทโอโคเย่
บรีลาร์สันรับบทแครอล/captain marvel
แบรดลีย์คูเปอร์รับบทร็อคเก็ตแรคคูน
คริสอีแวนส์รับบทสตีฟโรเจอร์ส/captain america
สการ์เล็ตต์โจแฮนส์สันรับบทนาตาชา/black widow
เจมี่ลีเรนเนอร์รับบทคลินท์บาร์ตัน/hawkeye
ดอนชีเดิลรับบทเจมส์โรดส์/war machine
พอลรัดด์รับบทสก๊อตแลง/ant man
มาร์ครัฟฟาโลรับบทบรูซแบนเนอร์/hulk
แชดวิกโบสแมนรับบททีชาล่า/black panther
แอนโธนี่แม็คกีรับบทแซมวิลสัน/falcon
เบเนดิกต์คัมเบอร์แบตช์รับบทสตีเฟ่นส์/doctor strange
เดฟบอทิสตารับบทแดร๊กซ์เดสทรอยเยอร์
ปอมเกลม็องตีแย็ฟรับบทแมนทิส
คริสแพร็ตต์รับบทปีเตอร์ควิลล์/star lord
เซบาสเตียนสแตนรับบทบัคกี้บาร์นส์
วินดีเซลรับบทgroot
เทสซาธอป์สันรับบทวัลคิรี่
อลิซาเบธโอลเซ่นรับบทแวนด้า/scarlet witch
กวินเน็ธพัลโทรว์รับบทเปปเปอร์พอตส์
เบเนดิดท์หว่องรับบทwong
อีแวนจีไลน์ลิลลี่รับบทthe wasp
โซอี้ซัลดัญญารับบทกาโมร่า
คาเรนกิลแลนรับบทเนบิวล่า
ผู้กำกับแอนโทนีรุสโซและโจรุสโซ","avengers end game

 


iron man


captain marvel

captain america
black widow
hawkeye
war machine
ant man
hulk
black panther
falcon
doctor strange


star lord

groot

scarlet witch

wong
the wasp


",avenger end game iron man captain marvel captain america black widow hawkeye war machine ant man hulk black panther falcon doctor strange star lord groot scarlet witch wong wasp
87,TcMBFSGVi1c,Avengers Endgame Trailer,seeing this in 2026.... doomsday is gonna hit so hard,seeing this in  doomsday is gonna hit so hard,seeing doomsday gonna hit hard
88,TcMBFSGVi1c,Avengers Endgame Trailer,Esse trailer é simplesmente perfeito ❤,esse trailer  simplesmente perfeito ,esse trailer simplesmente perfeito
89,TcMBFSGVi1c,Avengers Endgame Trailer,I can't wait for this movie to come out,i cannot wait for this movie to come out,cannot wait movie come
90,TcMBFSGVi1c,Avengers Endgame Trailer,Tekrar tüylerim diken diken oldu LAĞN!,tekrar tylerim diken diken oldu lan,tekrar tylerim diken diken oldu lan
91,TcMBFSGVi1c,Avengers Endgame Trailer,Seahawks returning to the Super Bowl to play the Patriots again:,seahawks returning to the super bowl to play the patriots again,seahawks returning super bowl play patriot
92,TcMBFSGVi1c,Avengers Endgame Trailer,Doomsday is upon us.,doomsday is upon us,doomsday upon u
93,TcMBFSGVi1c,Avengers Endgame Trailer,"25th January 2026
10 months and 22 days to Doomsday 🔥","th january 
 months and  days to doomsday ",th january month day doomsday
94,TcMBFSGVi1c,Avengers Endgame Trailer,Anybody here January 2026?,anybody here january ,anybody january
95,TcMBFSGVi1c,Avengers Endgame Trailer,"Avengers : whatever it takes 

Chadwick Boseman : it took everything, thanks for the journey","avengers  whatever it takes 

chadwick boseman  it took everything thanks for the journey",avenger whatever take chadwick boseman took everything thanks journey
96,TcMBFSGVi1c,Avengers Endgame Trailer,The Infinity Saga was such an amazing ride. Once in a lifetime thing.,the infinity saga was such an amazing ride once in a lifetime thing,infinity saga amazing ride lifetime thing
